"order","genera","XO","XY","multi","fusion","fission"
"Dermaptera","Forficula","NaN","12","12.8",NA,NA
"Dermaptera","Nala","NaN","18.5","19",NA,NA
"Dermaptera","Nesogaster","11","NaN","11",NA,NA
"Mantodea","Deiphobe","10","NaN","14",NA,NA
"Orthoptera","Aleuas","10","10.2","NaN",NA,NA
"Orthoptera","Dichroplus","11.7","9.7","11",NA,NA
"Orthoptera","Diponthus","11.5","11","NaN",NA,NA
"Orthoptera","Eurotettix","NaN","11","11",NA,NA
"Orthoptera","Gryllotalpa","10.7","6","NaN",NA,NA
"Orthoptera","Isophya","16","15","NaN",NA,NA
"Orthoptera","Leiotettix","12","9","7.5",NA,NA
"Orthoptera","Scotussa","11.6","9.5","11",NA,NA
"Orthoptera","Scyllina","12","11","NaN",NA,NA
"Orthoptera","Tetrixocephalus","12","11","NaN",NA,NA
"Orthoptera","Xyleus","12","11","NaN",NA,NA
"Orthoptera","Zoniopoda","12","11","NaN",NA,NA
"Phasmatodea","Didymuria","18.6","15.4","NaN",NA,NA
"Phasmatodea","Isagoras","19","17","NaN",NA,NA
"Phasmatodea","Leptynia","19.2","18","NaN",NA,NA
"Phasmatodea","Podacanthus","18","14","NaN",NA,NA
"Phasmatodea","Prisopus","25","14","NaN",NA,NA
"Plecoptera","Perla","10.5","5","12.8",NA,NA
